PokemonNumber,PokemonName,Height,Feet,Inches,PokeType,Ability,Description,EvoNumber,FamilyNumber,Type1,Type2
76,Golem,661.4,4,7,Rock,Rock Head,"Golem live up on mountains. If there is a large earthquake, these Pok‚mon will come rolling down off the mountains en masse to the foothills below.",3,31,Rock,Ground
77,Ponyta,66.1,3,3,Fire Horse,Run Away,Ponyta is very weak at birth. It can barely stand up. This Pok‚mon becomes stronger by stumbling and falling to keep up with its parent.,1,32,Fire,
78,Rapidash,209.4,5,7,Fire Horse,Run Away,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pok‚mon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",2,32,Fire,
79,Slowpoke,79.4,3,11,Dopey,Oblivious,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pok‚mon often forgets what it's doing and often spends entire days just loafing at water's edge.",1,33,Water,Psychic
80,Slowbro,173.1,5,3,Hermit Crab,Oblivious,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",2,33,Water,Psychic
81,Magnemite,13.2,1,0,Magnet,Sturdy,"Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pok‚mon clinging to the breaker box.",1,34,Electric,
82,Magneton,132.3,3,3,Magnet,Sturdy,"Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pok‚mon.",2,34,Electric,
83,Farfetched,33.1,2,7,Wild Duck,Keen Eye,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pok‚mon has been known to fight with others over stalks.",1,35,Normal,Flying
84,Doduo,86.4,4,7,Twin Bird,Run Away,"Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.",1,36,Normal,Flying
85,Dodrio,187.8,5,11,Triple Bird,Run Away,Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pok‚mon if it's being wary?it may decide to peck you.,2,36,Normal,Flying
86,Seel,198.4,3,7,Sea Lion,Think Fat,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",1,37,Water,
87,Dewgong,264.6,5,7,Sea Lion,Think Fat,Dewgong loves to snooze on bitterly cold ice. The sight of this Pok‚mon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,2,37,Water,Ice
88,Grimer,66.1,2,11,Sludge,Stench,"Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pok‚mon enters sewer pipes to drink filthy wastewater.",1,38,Poison,
89,Muk,66.1,3,11,Sludge,Stench,From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pok‚mon's body fluid can turn a pool stagnant and rancid.,2,38,Poison,
90,Shellder,8.8,1,0,Bivalve,Shell Armor,"At night, this Pok‚mon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out. ",1,39,Water,
91,Cloyster,292.1,4,11,Bivalve,Shell Armor,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pok‚mon shoots spikes from its shell using the same system.",2,39,Water,Ice
92,Gastly,0.2,4,3,Gas,Levitate,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pok‚mon cluster under the eaves of houses to escape the ravages of wind.",1,40,Ghost,Poison
93,Haunter,0.2,5,3,Gas,Levitate,"Haunter is a dangerous Pok‚mon. If one beckons you while floating in darkness, you must never approach it. This Pok‚mon will try to lick you with its tongue and steal your life away.",2,40,Ghost,Poison
94,Gengar,89.3,4,11,Shadow,Levitate,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",3,40,Ghost,Poison
95,Onix,463,28,10,Rock Snake,Rock Head,"Onix has a magnet in its brain. It acts as a compass so that this Pok‚mon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",1,41,Rock,Ground
96,Drowzee,71.4,3,3,Hypnosis,Insomnia,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pok‚mon is standing above your pillow and trying to eat your dream through your nostrils.",1,42,Psychic,
97,Hypno,166.7,5,3,Hypnosis,Insomnia,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pok‚mon searches for prey, it polishes the pendulum.",2,42,Psychic,
98,Krabby,14.3,1,4,River Crab,Shell Armor,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pok‚mon can be seen squabbling with each other over territory.",1,43,Water,
99,Kingler,132.3,4,3,Pincer,Shell Armor,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pok‚mon quickly tires.",2,43,Water,
100,Voltorb,22.9,1,8,Ball,Static,Voltorb was first sighted at a company that manufactures Pok‚ Balls. The link between that sighting and the fact that this Pok‚mon looks very similar to a Pok‚ Ball remains a mystery.,1,44,Electric,
101,Electrode,146.8,3,11,Ball,Static,"Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pok‚mon exploding all over the place from eating too much electricity.",2,44,Electric,
102,Exeggcute,5.5,1,4,Egg,Chlorophyll,"This Pok‚mon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution. ",1,45,Grass,Psychic
103,Exeggutor,264.6,6,7,Coconut,Chlorophyll,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",2,45,Grass,Psychic
104,Cubone,14.3,1,4,Lonely,Rock Head,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pok‚mon wears are made by the tears it sheds.",1,46,Ground,
105,Marowak,99.2,3,3,Bone Keeper,Rock Head,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pok‚mon's tempered and hardened spirit is not easily broken.,2,46,Ground,
106,Hitmonlee,109.8,4,11,Kicking,Limber,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",1,47,Fighting,
107,Hitmonchan,110.7,4,7,Punching,Keen Eye,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pok‚mon has an indomitable spirit and will never give up in the face of adversity.,1,48,Fighting,
108,Lickitung,144.4,3,11,Licking,Oblivious,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",1,49,Normal,
109,Koffing,2.2,2,0,Poison Gas,Levitate,"If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pok‚mon may also overinflate its round body, then explode.",1,50,Poison,
110,Weezing,20.9,3,11,Poison Gas,Levitate,"Weezing loves the gases given off by rotted kitchen garbage. This Pok‚mon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.",2,50,Poison,
111,Rhyhorn,253.5,3,3,Spikes,Rock Head,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pok‚mon may feel some pain from the collision the next day, however.",1,51,Rock,Ground
112,Rhydon,264.6,6,3,Drill,Rock Head,Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pok‚mon's hide is extremely tough. Even direct cannon hits don't leave a scratch.,2,51,Rock,Ground
113,Chansey,76.3,3,7,Egg,Natural Cure,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",1,52,Normal,
114,Tangela,77.2,3,3,Vine,Chlorophyll,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",1,53,Grass,Poison
115,Kangaskhan,176.4,7,3,Parent,Early Bird,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pok‚mon's parent is sure to be in the area, and it will become violently enraged at you.",1,54,Normal,
116,Horsea,17.6,1,4,Dragon,Swift Swim,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pok‚mon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.",1,55,Water,
117,Seadra,55.1,3,11,Dragon,Poison Point,Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pok‚mon's poison barbs if they fail to notice it.,2,55,Water,
118,Goldeen,33.1,2,0,Goldfish,Swift Swim,"Goldeen is a very beautiful Pok‚mon with fins that billow elegantly in water. However, don't let your guard down around this Pok‚mon?it could ram you powerfully with its horn.",1,56,Water,
119,Seaking,86,4,3,Goldfish,Swift Swim,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pok‚mon's body coloration is at its most beautiful.",2,56,Water,
120,Staryu,76.1,2,7,Star Shape,Natural Cure,"Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pok‚mon look like the stars in the sky.",1,57,Water,
121,Starmie,176.4,3,7,Mysterious,Natural Cure,"Starmie's center section?the core?glows brightly in seven colors. Because of its luminous nature, this Pok‚mon has been given the nickname ?the gem of the sea.""",2,57,Water,
122,Mr.Mime,120.1,4,3,Barrier,Soundproof,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",1,58,Psychic,
123,Scyther,123.5,4,11,Mantis,Swarm,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pok‚mon's scythes are so effective, they can slice through thick logs in one wicked stroke.",1,59,Bug,Flying
124,Jinx,89.5,4,7,Human Shape,Oblivious,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",1,60,Psychic,Ice
125,Electabuzz,66.1,3,7,Electric,Static,"When a storm arrives, gangs of this Pok‚mon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",1,61,Electric,
126,Magmar,98.1,4,3,Spitfire,Flame Body,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pok‚mon's fiery bursts create heat waves that ignite grass and trees in its surroundings.",1,62,Fire,
127,Pinsir,121.3,4,11,Stag Beetle,Hyper Cutter,Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pok‚mon's movements turn sluggish in cold places.,1,63,Bug,
128,Tauros,194.9,4,7,Wild Bull,Intimidate,"This Pok‚mon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",1,64,Normal,
129,Magikarp,22,2,11,Fish,Swift Swim,Magikarp is a pathetic excuse for a Pok‚mon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,1,65,Water,
130,Gyarados,518.1,21,4,Atrocious,Intimidate,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pok‚mon's wildly violent nature.",2,65,Water,Flying
131,Lapras,485,8,2,Transport,Water Absorb,"People have driven Lapras almost to the point of extinction. In the evenings, this Pok‚mon is said to sing plaintively as it seeks what few others of its kind still remain.",1,66,Water,Ice
132,Ditto,8.8,1,0,Transform,Limber,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pok‚mon manages to get details wrong.",1,67,Normal,
133,Eevee,14.3,1,0,Evolution,Run Away,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pok‚mon to evolve.,1,68,Normal,
134,Vaporeon,63.9,3,3,Bubble Jet,Water Absorb,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pok‚mon has the ability to freely control water.,2,68,Water,
135,Jolteon,54,2,7,Lightning,Volt Absorb,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pok‚mon to drop thunderbolts. The bristling fur is made of electrically charged needles.",2,68,Electric,
136,Flareon,55.1,2,11,Flame,Flash Fire,"Flareon's fluffy fur has a functional purpose?it releases heat into the air so that its body does not get excessively hot. This Pok‚mon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",2,68,Fire,
137,Porygon,80.5,2,7,Virtual,Trace,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pok‚mon is copy protected so it cannot be duplicated by copying.,1,69,Normal,
138,Omanyte,16.5,1,4,Spiral,Shell Armor,"Omanyte is one of the ancient and long-since-extinct Pok‚mon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",1,70,Rock,Water
139,Omastar,77.2,3,3,Spiral,Shell Armor,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous. ",2,70,Rock,Water
140,Kabuto,25.4,1,8,Shellfish,Swift Swim,"Kabuto is a Pok‚mon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pok‚mon has not changed at all for 300 million years.",1,71,Rock,Water
141,Kabutops,89.3,4,3,Shellfish,Swift Swim,Kabutops swam underwater to hunt for its prey in ancient times. The Pok‚mon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,2,71,Rock,Water
142,Aerodactyl,130.1,5,11,Fossil,Rock Head,Aerodactyl is a Pok‚mon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,1,72,Rock,Flying
143,Snorlax,1014.1,6,11,Sleeping,Think Fat,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pok‚mon that there are children who use its expansive belly as a place to play.,1,73,Normal,
144,Articuno,122.1,5,7,Freeze,Pressure,"Articuno is a legendary bird Pok‚mon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pok‚mon flies, snow will fall.",1,74,Ice,Flying
145,Zapdos,116,5,3,Electric,Pressure,Zapdos is a legendary bird Pok‚mon that has the ability to control electricity. It usually lives in thunderclouds. The Pok‚mon gains power if it is stricken by lightning bolts.,1,75,Electric,Flying
146,Moltres,132.3,6,7,Flame,Pressure,"Moltres is a legendary bird Pok‚mon that has the ability to control fire. If this Pok‚mon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",1,76,Fire,Flying
147,Dratini,7.3,5,11,Dragon,Shed Skin,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,1,77,Dragon,
148,Dragonair,36.4,13,1,Dragon,Shed Skin,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,2,77,Dragon,
149,Dragonite,463,7,3,Dragon,Inner Focus,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pok‚mon that leads lost and foundering ships in a storm to the safety of land.,3,77,Dragon,Flying
150,Mewtwo,269,6,7,Genetic,Pressure,"Mewtwo is a Pok‚mon that was created by genetic manipulation. However, even though the scientific power of humans created this Pok‚mon's body, they failed to endow Mewtwo with a compassionate heart.",1,78,Psychic,
151,Mew,8.8,1,4,New Species,Synchronize,"Mew is said to possess the genetic composition of all Pok‚mon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",1,79,Psychic,
